draw_no,strategy,max_match,n_3plus,n_4plus,n_5,cost,payout,profit
936,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
937,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
938,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
939,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
940,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
941,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
942,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
943,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
944,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
945,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
946,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
947,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
948,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
949,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
950,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
951,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
952,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
953,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,900,-1100
954,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
955,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
956,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
957,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1100,-900
958,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
959,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
960,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1000,-1000
961,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
962,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,800,-1200
963,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,800,-1200
964,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
965,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
966,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
967,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
968,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
969,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
970,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
971,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
972,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
973,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
974,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1000,-1000
975,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
976,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1000,-1000
977,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1000,-1000
978,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
979,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1200,-800
980,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1000,-1000
981,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
982,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
983,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
984,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
985,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
