num_a,num_b,observed_count,expected_count,lift,odds_ratio,p_raw,period
14,27,7,7.548387096774194,0.9273504273504273,0.6070391872278664,1.0,q2
14,28,4,7.548387096774194,0.5299145299145299,0.3442857142857143,0.2654538030170721,q2
14,29,7,7.548387096774194,0.9273504273504273,0.6686320754716981,1.0,q2
14,30,11,7.548387096774194,1.4572649572649572,0.8291639236339697,0.19505962118243958,q2
14,31,8,7.548387096774194,1.0598290598290598,0.7598116169544741,0.8525964477576938,q2
15,16,5,7.548387096774194,0.6623931623931624,0.4375453885257807,0.4605283765634254,q2
15,17,9,7.548387096774194,1.192307692307692,0.915,0.5772107413890271,q2
15,18,5,7.548387096774194,0.6623931623931624,0.5361757105943152,0.4605283765634254,q2
15,19,4,7.548387096774194,0.5299145299145299,0.2697947214076246,0.2654538030170721,q2
15,20,10,7.548387096774194,1.3247863247863247,0.8233638282899367,0.35315791020466714,q2
15,21,11,7.548387096774194,1.4572649572649572,1.2916666666666667,0.19505962118243958,q2
15,22,7,7.548387096774194,0.9273504273504273,0.5431034482758621,1.0,q2
15,23,11,7.548387096774194,1.4572649572649572,1.1091666666666666,0.19505962118243958,q2
15,24,8,7.548387096774194,1.0598290598290598,0.7412533640907343,0.8525964477576938,q2
15,25,7,7.548387096774194,0.9273504273504273,0.621301775147929,1.0,q2
15,26,12,7.548387096774194,1.5897435897435899,1.6085106382978724,0.13530517452715526,q2
15,27,2,7.548387096774194,0.26495726495726496,0.14465989535241613,0.03995448836050852,q2
15,28,6,7.548387096774194,0.7948717948717949,0.5754716981132075,0.713291991792435,q2
15,29,8,7.548387096774194,1.0598290598290598,0.8176887776387151,0.8525964477576938,q2
15,30,9,7.548387096774194,1.192307692307692,0.64125,0.5772107413890271,q2
15,31,10,7.548387096774194,1.3247863247863247,1.0638297872340425,0.35315791020466714,q2
16,17,6,7.548387096774194,0.7948717948717949,0.5741176470588235,0.713291991792435,q2
16,18,5,7.548387096774194,0.6623931623931624,0.5745554035567716,0.4605283765634254,q2
16,19,8,7.548387096774194,1.0598290598290598,0.6810344827586207,0.8525964477576938,q2
16,20,12,7.548387096774194,1.5897435897435899,1.1639610389610389,0.13530517452715526,q2
16,21,6,7.548387096774194,0.7948717948717949,0.6024489795918367,0.713291991792435,q2
16,22,8,7.548387096774194,1.0598290598290598,0.695906432748538,0.8525964477576938,q2
16,23,7,7.548387096774194,0.9273504273504273,0.6375661375661376,1.0,q2
16,24,8,7.548387096774194,1.0598290598290598,0.7973856209150327,0.8525964477576938,q2
16,25,5,7.548387096774194,0.6623931623931624,0.4375453885257807,0.4605283765634254,q2
16,26,6,7.548387096774194,0.7948717948717949,0.6495652173913044,0.713291991792435,q2
16,27,5,7.548387096774194,0.6623931623931624,0.4375453885257807,0.4605283765634254,q2
16,28,9,7.548387096774194,1.192307692307692,1.0638297872340425,0.5772107413890271,q2
16,29,8,7.548387096774194,1.0598290598290598,0.8794326241134752,0.8525964477576938,q2
16,30,14,7.548387096774194,1.8547008547008546,1.3333333333333333,0.02555536229162719,q2
16,31,8,7.548387096774194,1.0598290598290598,0.8367346938775511,0.8525964477576938,q2
17,18,4,7.548387096774194,0.5299145299145299,0.4288164665523156,0.2654538030170721,q2
17,19,11,7.548387096774194,1.4572649572649572,1.0391304347826087,0.19505962118243958,q2
17,20,10,7.548387096774194,1.3247863247863247,0.8657373440939105,0.35315791020466714,q2
17,21,6,7.548387096774194,0.7948717948717949,0.5882352941176471,0.713291991792435,q2
17,22,12,7.548387096774194,1.5897435897435899,1.2125786163522012,0.13530517452715526,q2
17,23,6,7.548387096774194,0.7948717948717949,0.5112299465240642,0.713291991792435,q2
17,24,8,7.548387096774194,1.0598290598290598,0.7779111644657863,0.8525964477576938,q2
17,25,9,7.548387096774194,1.192307692307692,0.915,0.5772107413890271,q2
17,26,5,7.548387096774194,0.6623931623931624,0.5053191489361702,0.4605283765634254,q2
17,27,5,7.548387096774194,0.6623931623931624,0.42735042735042733,0.4605283765634254,q2
17,28,7,7.548387096774194,0.9273504273504273,0.7357446808510638,1.0,q2
17,29,9,7.548387096774194,1.192307692307692,1.0108695652173914,0.5772107413890271,q2
17,30,10,7.548387096774194,1.3247863247863247,0.7801418439716312,0.35315791020466714,q2
17,31,5,7.548387096774194,0.6623931623931624,0.4474852071005917,0.4605283765634254,q2
18,19,9,7.548387096774194,1.192307692307692,0.9959514170040485,0.5772107413890271,q2
18,20,6,7.548387096774194,0.7948717948717949,0.5552995391705069,0.713291991792435,q2
18,21,10,7.548387096774194,1.3247863247863247,1.5087719298245614,0.35315791020466714,q2
18,22,7,7.548387096774194,0.9273504273504273,0.7211942809083264,1.0,q2
18,23,7,7.548387096774194,0.9273504273504273,0.7872628726287263,1.0,q2
18,24,9,7.548387096774194,1.192307692307692,1.1676923076923076,0.5772107413890271,q2
18,25,7,7.548387096774194,0.9273504273504273,0.824108818011257,1.0,q2
18,26,7,7.548387096774194,0.9273504273504273,0.9788617886178862,1.0,q2
18,27,7,7.548387096774194,0.9273504273504273,0.824108818011257,1.0,q2
18,28,7,7.548387096774194,0.9273504273504273,0.9299429164504411,1.0,q2
18,29,5,7.548387096774194,0.6623931623931624,0.5883720930232558,0.4605283765634254,q2
18,30,13,7.548387096774194,1.722222222222222,1.5042857142857142,0.06128009786972832,q2
18,31,6,7.548387096774194,0.7948717948717949,0.7058823529411765,0.713291991792435,q2
19,20,13,7.548387096774194,1.722222222222222,1.0257289879931388,0.06128009786972832,q2
19,21,6,7.548387096774194,0.7948717948717949,0.4816326530612245,0.713291991792435,q2
19,22,12,7.548387096774194,1.5897435897435899,0.9727463312368972,0.13530517452715526,q2
19,23,10,7.548387096774194,1.3247863247863247,0.819327731092437,0.35315791020466714,q2
19,24,5,7.548387096774194,0.6623931623931624,0.35063752276867033,0.4605283765634254,q2
19,25,8,7.548387096774194,1.0598290598290598,0.6328600405679513,0.8525964477576938,q2
19,26,4,7.548387096774194,0.5299145299145299,0.3185483870967742,0.2654538030170721,q2
19,27,9,7.548387096774194,1.192307692307692,0.7421052631578947,0.5772107413890271,q2
19,28,11,7.548387096774194,1.4572649572649572,1.1255813953488372,0.19505962118243958,q2
19,29,11,7.548387096774194,1.4572649572649572,1.0954545454545455,0.19505962118243958,q2
19,30,12,7.548387096774194,1.5897435897435899,0.8160291438979964,0.13530517452715526,q2
19,31,10,7.548387096774194,1.3247863247863247,0.9042553191489362,0.35315791020466714,q2
20,21,4,7.548387096774194,0.5299145299145299,0.28431372549019607,0.2654538030170721,q2
20,22,8,7.548387096774194,1.0598290598290598,0.5286549707602339,0.8525964477576938,q2
20,23,12,7.548387096774194,1.5897435897435899,1.0233236151603498,0.13530517452715526,q2
20,24,11,7.548387096774194,1.4572649572649572,0.9448099415204678,0.19505962118243958,q2
20,25,9,7.548387096774194,1.192307692307692,0.7108474576271187,0.5772107413890271,q2
20,26,6,7.548387096774194,0.7948717948717949,0.49859747545582045,0.713291991792435,q2
20,27,15,7.548387096774194,1.987179487179487,1.5373070325900515,0.014239732756122846,q2
20,28,9,7.548387096774194,1.192307692307692,0.8067796610169492,0.5772107413890271,q2
20,29,8,7.548387096774194,1.0598290598290598,0.6695035460992907,0.8525964477576938,q2
20,30,7,7.548387096774194,0.9273504273504273,0.377297565822156,1.0,q2
20,31,7,7.548387096774194,0.9273504273504273,0.5347540983606557,1.0,q2
21,22,5,7.548387096774194,0.6623931623931624,0.3933333333333333,0.4605283765634254,q2
21,23,9,7.548387096774194,1.192307692307692,0.9180602006688964,0.5772107413890271,q2
21,24,9,7.548387096774194,1.192307692307692,0.9626086956521739,0.5772107413890271,q2
21,25,13,7.548387096774194,1.722222222222222,1.6821946169772257,0.06128009786972832,q2
21,26,7,7.548387096774194,0.9273504273504273,0.8134259259259259,1.0,q2
21,27,10,7.548387096774194,1.3247863247863247,1.1201814058956916,0.35315791020466714,q2
21,28,9,7.548387096774194,1.192307692307692,1.0913043478260869,0.5772107413890271,q2
21,29,3,7.548387096774194,0.39743589743589747,0.27071005917159763,0.09809544584071431,q2
21,30,9,7.548387096774194,1.192307692307692,0.7092391304347826,0.5772107413890271,q2
21,31,7,7.548387096774194,0.9273504273504273,0.7175,1.0,q2
